column,file_name
w4_sn_mentioned_again_1,sharew8_rel9-0-0_gv_networks.dta
w4_sn_mentioned_again_2,sharew8_rel9-0-0_gv_networks.dta
w4_sn_mentioned_again_3,sharew8_rel9-0-0_gv_networks.dta
w4_sn_mentioned_again_4,sharew8_rel9-0-0_gv_networks.dta
w4_sn_mentioned_again_5,sharew8_rel9-0-0_gv_networks.dta
w4_sn_mentioned_again_6,sharew8_rel9-0-0_gv_networks.dta
w4_sn_mentioned_again_7,sharew8_rel9-0-0_gv_networks.dta
sn_person_1,sharew8_rel9-0-0_gv_networks.dta
sn_person_2,sharew8_rel9-0-0_gv_networks.dta
sn_person_3,sharew8_rel9-0-0_gv_networks.dta
sn_person_4,sharew8_rel9-0-0_gv_networks.dta
sn_person_5,sharew8_rel9-0-0_gv_networks.dta
sn_person_6,sharew8_rel9-0-0_gv_networks.dta
sn_person_7,sharew8_rel9-0-0_gv_networks.dta
rel_1,sharew8_rel9-0-0_gv_networks.dta
rel_2,sharew8_rel9-0-0_gv_networks.dta
rel_3,sharew8_rel9-0-0_gv_networks.dta
rel_4,sharew8_rel9-0-0_gv_networks.dta
rel_5,sharew8_rel9-0-0_gv_networks.dta
rel_6,sharew8_rel9-0-0_gv_networks.dta
rel_7,sharew8_rel9-0-0_gv_networks.dta
gender_1,sharew8_rel9-0-0_gv_networks.dta
gender_2,sharew8_rel9-0-0_gv_networks.dta
gender_3,sharew8_rel9-0-0_gv_networks.dta
gender_4,sharew8_rel9-0-0_gv_networks.dta
gender_5,sharew8_rel9-0-0_gv_networks.dta
gender_6,sharew8_rel9-0-0_gv_networks.dta
gender_7,sharew8_rel9-0-0_gv_networks.dta
prx_1,sharew8_rel9-0-0_gv_networks.dta
prx_2,sharew8_rel9-0-0_gv_networks.dta
prx_3,sharew8_rel9-0-0_gv_networks.dta
prx_4,sharew8_rel9-0-0_gv_networks.dta
prx_5,sharew8_rel9-0-0_gv_networks.dta
prx_6,sharew8_rel9-0-0_gv_networks.dta
prx_7,sharew8_rel9-0-0_gv_networks.dta
contact_1,sharew8_rel9-0-0_gv_networks.dta
contact_2,sharew8_rel9-0-0_gv_networks.dta
contact_3,sharew8_rel9-0-0_gv_networks.dta
contact_4,sharew8_rel9-0-0_gv_networks.dta
contact_5,sharew8_rel9-0-0_gv_networks.dta
contact_6,sharew8_rel9-0-0_gv_networks.dta
contact_7,sharew8_rel9-0-0_gv_networks.dta
close_1,sharew8_rel9-0-0_gv_networks.dta
close_2,sharew8_rel9-0-0_gv_networks.dta
close_3,sharew8_rel9-0-0_gv_networks.dta
close_4,sharew8_rel9-0-0_gv_networks.dta
close_5,sharew8_rel9-0-0_gv_networks.dta
close_6,sharew8_rel9-0-0_gv_networks.dta
close_7,sharew8_rel9-0-0_gv_networks.dta
year_1,sharew8_rel9-0-0_gv_networks.dta
year_2,sharew8_rel9-0-0_gv_networks.dta
year_3,sharew8_rel9-0-0_gv_networks.dta
year_4,sharew8_rel9-0-0_gv_networks.dta
year_5,sharew8_rel9-0-0_gv_networks.dta
year_6,sharew8_rel9-0-0_gv_networks.dta
year_7,sharew8_rel9-0-0_gv_networks.dta
fin_gave_sn_1,sharew8_rel9-0-0_gv_networks.dta
fin_gave_sn_2,sharew8_rel9-0-0_gv_networks.dta
fin_gave_sn_3,sharew8_rel9-0-0_gv_networks.dta
fin_gave_sn_4,sharew8_rel9-0-0_gv_networks.dta
fin_gave_sn_5,sharew8_rel9-0-0_gv_networks.dta
fin_gave_sn_6,sharew8_rel9-0-0_gv_networks.dta
fin_gave_sn_7,sharew8_rel9-0-0_gv_networks.dta
fin_received_sn_1,sharew8_rel9-0-0_gv_networks.dta
fin_received_sn_2,sharew8_rel9-0-0_gv_networks.dta
fin_received_sn_3,sharew8_rel9-0-0_gv_networks.dta
fin_received_sn_4,sharew8_rel9-0-0_gv_networks.dta
fin_received_sn_5,sharew8_rel9-0-0_gv_networks.dta
fin_received_sn_6,sharew8_rel9-0-0_gv_networks.dta
fin_received_sn_7,sharew8_rel9-0-0_gv_networks.dta
gift_received_sn_1,sharew8_rel9-0-0_gv_networks.dta
gift_received_sn_2,sharew8_rel9-0-0_gv_networks.dta
gift_received_sn_3,sharew8_rel9-0-0_gv_networks.dta
gift_received_sn_4,sharew8_rel9-0-0_gv_networks.dta
gift_received_sn_5,sharew8_rel9-0-0_gv_networks.dta
gift_received_sn_6,sharew8_rel9-0-0_gv_networks.dta
gift_received_sn_7,sharew8_rel9-0-0_gv_networks.dta
gift_gave_sn_1,sharew8_rel9-0-0_gv_networks.dta
gift_gave_sn_2,sharew8_rel9-0-0_gv_networks.dta
gift_gave_sn_3,sharew8_rel9-0-0_gv_networks.dta
gift_gave_sn_4,sharew8_rel9-0-0_gv_networks.dta
gift_gave_sn_5,sharew8_rel9-0-0_gv_networks.dta
gift_gave_sn_6,sharew8_rel9-0-0_gv_networks.dta
gift_gave_sn_7,sharew8_rel9-0-0_gv_networks.dta
outhh_receive_care_sn_1,sharew8_rel9-0-0_gv_networks.dta
outhh_receive_care_sn_2,sharew8_rel9-0-0_gv_networks.dta
outhh_receive_care_sn_3,sharew8_rel9-0-0_gv_networks.dta
outhh_receive_care_sn_4,sharew8_rel9-0-0_gv_networks.dta
outhh_receive_care_sn_5,sharew8_rel9-0-0_gv_networks.dta
outhh_receive_care_sn_6,sharew8_rel9-0-0_gv_networks.dta
outhh_receive_care_sn_7,sharew8_rel9-0-0_gv_networks.dta
outhh_gave_care_sn_1,sharew8_rel9-0-0_gv_networks.dta
outhh_gave_care_sn_2,sharew8_rel9-0-0_gv_networks.dta
outhh_gave_care_sn_3,sharew8_rel9-0-0_gv_networks.dta
outhh_gave_care_sn_4,sharew8_rel9-0-0_gv_networks.dta
outhh_gave_care_sn_5,sharew8_rel9-0-0_gv_networks.dta
outhh_gave_care_sn_6,sharew8_rel9-0-0_gv_networks.dta
outhh_gave_care_sn_7,sharew8_rel9-0-0_gv_networks.dta
hh_gave_care_sn_1,sharew8_rel9-0-0_gv_networks.dta
