column,file_name,is_valid
ep082ub_2,sharew6_rel9-0-0_ep.dta,True
ep082ub_3,sharew6_rel9-0-0_ep.dta,True
ep082ub_4,sharew6_rel9-0-0_ep.dta,True
ep082ub_5,sharew6_rel9-0-0_ep.dta,True
ep082ub_6,sharew6_rel9-0-0_ep.dta,True
ep082ub_7,sharew6_rel9-0-0_ep.dta,True
ep082ub_8,sharew6_rel9-0-0_ep.dta,True
ep082ub_9,sharew6_rel9-0-0_ep.dta,True
ep082ub_10,sharew6_rel9-0-0_ep.dta,True
ep082ub_11,sharew6_rel9-0-0_ep.dta,True
ep082ub_12,sharew6_rel9-0-0_ep.dta,True
ep082ub_13,sharew6_rel9-0-0_ep.dta,True
ep082v1,sharew6_rel9-0-0_ep.dta,True
ep082v2,sharew6_rel9-0-0_ep.dta,True
ep082v3,sharew6_rel9-0-0_ep.dta,True
ep089d1,sharew6_rel9-0-0_ep.dta,True
ep089d2,sharew6_rel9-0-0_ep.dta,True
ep089d3,sharew6_rel9-0-0_ep.dta,True
ep089d4,sharew6_rel9-0-0_ep.dta,True
ep089d5,sharew6_rel9-0-0_ep.dta,True
ep089dno,sharew6_rel9-0-0_ep.dta,True
ep090_1,sharew6_rel9-0-0_ep.dta,True
ep090_2,sharew6_rel9-0-0_ep.dta,True
ep090_3,sharew6_rel9-0-0_ep.dta,True
ep090_4,sharew6_rel9-0-0_ep.dta,True
ep090_5,sharew6_rel9-0-0_ep.dta,True
ep092_1,sharew6_rel9-0-0_ep.dta,True
ep092_2,sharew6_rel9-0-0_ep.dta,True
ep092_3,sharew6_rel9-0-0_ep.dta,True
ep092_4,sharew6_rel9-0-0_ep.dta,True
ep092_5,sharew6_rel9-0-0_ep.dta,True
ep094e_1,sharew6_rel9-0-0_ep.dta,True
ep094e_2,sharew6_rel9-0-0_ep.dta,True
ep094e_3,sharew6_rel9-0-0_ep.dta,True
ep094e_4,sharew6_rel9-0-0_ep.dta,True
ep094e_5,sharew6_rel9-0-0_ep.dta,True
ep094ub_1,sharew6_rel9-0-0_ep.dta,True
ep094ub_2,sharew6_rel9-0-0_ep.dta,True
ep094ub_3,sharew6_rel9-0-0_ep.dta,True
ep094ub_4,sharew6_rel9-0-0_ep.dta,True
ep094ub_5,sharew6_rel9-0-0_ep.dta,True
ep094v1,sharew6_rel9-0-0_ep.dta,True
ep094v2,sharew6_rel9-0-0_ep.dta,True
ep094v3,sharew6_rel9-0-0_ep.dta,True
ep096_1,sharew6_rel9-0-0_ep.dta,True
ep096_2,sharew6_rel9-0-0_ep.dta,True
ep096_3,sharew6_rel9-0-0_ep.dta,True
ep096_4,sharew6_rel9-0-0_ep.dta,True
ep096_5,sharew6_rel9-0-0_ep.dta,True
ep097_,sharew6_rel9-0-0_ep.dta,True
ep098d1,sharew6_rel9-0-0_ep.dta,True
ep098d2,sharew6_rel9-0-0_ep.dta,True
ep098d3,sharew6_rel9-0-0_ep.dta,True
ep098d4,sharew6_rel9-0-0_ep.dta,True
ep098d5,sharew6_rel9-0-0_ep.dta,True
ep102_1,sharew6_rel9-0-0_ep.dta,True
ep102_2,sharew6_rel9-0-0_ep.dta,True
ep102_3,sharew6_rel9-0-0_ep.dta,True
ep102_4,sharew6_rel9-0-0_ep.dta,True
ep102_5,sharew6_rel9-0-0_ep.dta,True
ep103_1,sharew6_rel9-0-0_ep.dta,True
ep103_2,sharew6_rel9-0-0_ep.dta,True
ep103_3,sharew6_rel9-0-0_ep.dta,True
ep103_4,sharew6_rel9-0-0_ep.dta,True
ep103_5,sharew6_rel9-0-0_ep.dta,True
ep106_1,sharew6_rel9-0-0_ep.dta,True
ep106_2,sharew6_rel9-0-0_ep.dta,True
ep106_3,sharew6_rel9-0-0_ep.dta,True
ep106_4,sharew6_rel9-0-0_ep.dta,True
ep106_5,sharew6_rel9-0-0_ep.dta,True
ep123_,sharew6_rel9-0-0_ep.dta,True
ep125_,sharew6_rel9-0-0_ep.dta,True
ep127_1,sharew6_rel9-0-0_ep.dta,True
ep127_2,sharew6_rel9-0-0_ep.dta,True
ep127_3,sharew6_rel9-0-0_ep.dta,True
ep127_4,sharew6_rel9-0-0_ep.dta,True
